ID,ReleaseDate,Rank,Movie,Distributor,Genre,Gross,Tickets Sold
1200,08-09-2017,92,Home Again,Open Road,Romantic Comedy,27020284,3012294
1201,12-08-2016,97,Hell or High Water,Lionsgate,Western,27007844,3122294
1202,20-09-2013,97,Rush,Universal,Drama,26947624,3314590
1203,22-11-2019,18,Frozen II,Walt Disney,Musical,26934045,2933991
1204,26-10-2012,110,Cloud Atlas,Warner Bros.,Drama,26903242,3379804
1205,27-01-2017,93,Resident Evil: The Final Ch…,Sony Pictures,Horror,26844692,2992719
1206,07-08-2015,93,Ricki and the Flash,Sony Pictures,Drama,26839498,3183808
1207,09-12-2011,109,The Sitter,20th Century Fox,Black Comedy,26816340,3381632
1208,17-10-2014,97,The Best of Me,Relativity,Drama,26739759,3272920
1209,15-07-2011,110,Winnie the Pooh,Walt Disney,Adventure,26692846,3366058
1210,29-03-2013,98,The Host,Open Road,Thriller/Suspense,26623701,3274747
1211,08-01-2016,98,The Forest,Focus / Gramercy,Horror,26594261,3074481
1212,03-09-2010,105,Machete,20th Century Fox,Action,26593646,3370551
1213,02-11-2018,88,Bohemian Rhapsody,20th Century Fox,Drama,26490206,2891943
1214,13-03-2015,94,Run All Night,Warner Bros.,Action,26461644,3138985
1215,14-02-2020,19,Fantasy Island,Sony Pictures,Horror,26441782,2880368
1216,27-01-2012,111,One for the Money,Lionsgate,Comedy,26414527,3318407
1217,19-08-2016,99,Ben-Hur,Paramount Pictures,Adventure,26410477,3053234
1218,09-08-2019,89,The Art of Racing in the Rain,20th Century Fox,Drama,26402818,2882403
1219,25-11-2020,42,The Croods: A New Age,Universal,Adventure,26234535,2579600
1220,13-11-2015,95,Love the Coopers,CBS Films,Comedy,26193757,3107207
1221,21-12-2011,112,The Adventures of Tintin,Paramount Pictures,Adventure,26191381,3290374
1222,23-07-2010,106,Ramona and Beezus,20th Century Fox,Comedy,26167002,3316477
1223,31-01-2014,98,That Awkward Moment,FilmDistrict,Romantic Comedy,26068955,3190814
1224,10-02-2023,67,Magic Mike’s Last Dance,Warner Bros.,Comedy,26033633,2414994
1225,19-09-2014,99,A Walk Among the Tombstones,Universal,Action,26017685,3184539
1226,24-08-2018,105,Searching,Sony Pictures,Thriller/Suspense,26015149,2855669
1227,23-08-2013,99,The World's End,Focus Features,Comedy,26004851,3198628
1228,08-01-2010,107,Leap Year,Universal,Romantic Comedy,25918920,3285034
1229,12-10-2012,100,Argo,Warner Bros.,Thriller/Suspense,25918584,3188017
1230,19-10-2012,113,Alex Cross,Lionsgate,Thriller/Suspense,25888412,3252313
1231,19-04-2024,48,Abigail,Universal,Horror,25867515,2399583
1232,27-02-2015,96,The Lazarus Effect,Lionsgate,Horror,25801570,3060684
1233,24-09-2010,108,You Again,Walt Disney,Comedy,25702053,3257547
1234,01-03-2013,101,21 and Over,Relativity,Comedy,25682380,3158964
1235,25-10-2019,90,Countdown,STX Entertainment,Horror,25617813,2796704
1236,30-06-2017,94,The House,Warner Bros.,Comedy,25584504,2852230
1237,10-01-2014,100,Her,Warner Bros.,Drama,25568251,3129528
1238,10-04-2015,97,Ex Machina,A24,Thriller/Suspense,25440971,3017908
1239,05-07-2012,114,Katy Perry: Part of Me,Paramount Pictures,Concert/Perfor…,25326071,3181667
1240,16-07-2021,43,Escape Room: Tournament of …,Sony Pictures,Horror,25314753,2489160
1241,19-02-2016,100,The Witch,A24,Horror,25138705,2906208
1242,23-09-2011,111,Killer Elite,Open Road,Action,25124986,3168346
1243,05-04-2024,49,Monkey Man,Universal,Thriller/Suspense,25116955,2329958
1244,17-09-2010,109,Alpha and Omega 3D,Lionsgate,Adventure,25107267,3182163
1245,26-08-2022,47,The Invitation,Sony Pictures,Horror,25100080,2383673
1246,02-02-2018,106,Winchester,CBS Films,Horror,25091816,2754316
1247,25-12-2015,101,The Hateful Eight,Weinstein Co.,Western,25071561,2898446
1248,18-10-2013,102,Escape Plan,Lionsgate,Thriller/Suspense,25063555,3082848
1249,15-03-2024,50,Arthur the King,Lionsgate,Adventure,25049006,2323655
1250,17-12-2010,110,How Do You Know?,Sony Pictures,Romantic Comedy,25040894,3173751
1251,27-08-2014,101,The November Man,Relativity,Thriller/Suspense,25018119,3062193
1252,20-08-2010,111,Piranha 3D,Weinstein/Dimension,Horror,25003155,3168967
1253,25-12-2012,103,Parental Guidance,20th Century Fox,Comedy,24927598,3066125
1254,25-12-2013,104,Grudge Match,Warner Bros.,Comedy,24846211,3056114
1255,22-12-2023,68,Anyone But You,Sony Pictures,Romantic Comedy,24837385,2304025
1256,07-01-2011,112,Season of the Witch,Relativity,Action,24827228,3130797
1257,26-08-2011,113,Our Idiot Brother,Weinstein Co.,Comedy,24814830,3129234
1258,07-04-2017,95,Gifted,Fox Searchlight,Drama,24801212,2764907
1259,07-11-2014,102,The Theory of Everything,Focus Features,Drama,24772350,3032111
1260,20-08-2010,112,Lottery Ticket,Warner Bros.,Comedy,24719879,3133065
1261,18-12-2009,48,Avatar,20th Century Fox,Action,24714024,2347010
1262,13-12-2019,91,Bombshell,Lionsgate,Drama,24589972,2684494
1263,27-09-2013,105,Don Jon,Relativity,Romantic Comedy,24475193,3010478
1264,09-03-2018,107,The Strangers: Prey at Night,Aviron Pictures,Horror,24431472,2681830
1265,17-08-2012,115,Sparkle,Sony Pictures,Drama,24397469,3065008
1266,16-12-2016,102,Collateral Beauty,Warner Bros.,Drama,24342478,2814159
1267,20-12-2013,103,Saving Mr. Banks,Walt Disney,Drama,24341481,2979373
1268,15-01-2010,113,The Spy Next Door,Lionsgate,Comedy,24307106,3080748
1269,11-07-2014,104,Boyhood,IFC Films,Drama,24299768,2974267
1270,08-12-2023,51,Poor Things,Searchlight Pictures,Black Comedy,24284189,2252707
1271,13-08-2021,44,Respect,United Artists,Drama,24278399,2387256
1272,17-10-2014,105,Birdman or (The Unexpected …,Fox Searchlight,Black Comedy,24273045,2970996
1273,10-11-2017,96,Three Billboards Outside Eb…,Fox Searchlight,Black Comedy,24164629,2693939
1274,16-09-2016,103,Bridget Jones’s Baby,Universal,Romantic Comedy,24139805,2790728
1275,05-02-2010,114,From Paris With Love,Lionsgate,Thriller/Suspense,24077427,3051638
1276,26-08-2011,114,Don't Be Afraid of the Dark,FilmDistrict,Horror,24046682,3032368
1277,27-09-2019,92,Judy,Roadside Attractions,Drama,24027755,2623117
1278,14-09-2018,108,White Boy Rick,Sony Pictures,Drama,24004833,2634998
1279,18-08-2023,69,Strays,Universal,Comedy,23988885,2225314
1280,28-08-2020,20,The New Mutants,20th Century Studios,Horror,23855569,2598645
1281,11-10-2019,93,Parasite,Neon,Black Comedy,23850889,2603808
1282,25-12-2020,45,Wonder Woman 1984,Warner Bros.,Action,23791725,2339403
1283,12-12-2014,106,Top Five,Paramount Pictures,Comedy,23740325,2905792
1284,23-04-2010,115,The Losers,Warner Bros.,Action,23591432,2990042
1285,14-10-2016,104,Kevin Hart: What Now?,Universal,Concert/Perfor…,23591043,2727288
1286,23-11-2011,116,Hugo,Paramount Pictures,Adventure,23551012,2958669
1287,14-02-2014,107,Endless Love,Universal,Drama,23438250,2868818
1288,25-12-2017,109,Molly’s Game,STX Entertainment,Drama,23403264,2568964
1289,14-05-2021,46,Spiral,Lionsgate,Horror,23216862,2282877
1290,04-02-2011,115,Sanctum,Universal,Action,23209310,2926773
1291,01-07-2011,116,Monte Carlo,20th Century Fox,Romantic Comedy,23186769,2923931
1292,21-02-2014,108,Pompeii,Sony Pictures,Action,23169033,2835866
1293,23-08-2024,52,Blink Twice,Amazon MGM Studios,Thriller/Suspense,23093906,2142291
1294,04-03-2016,105,Whiskey Tango Foxtrot,Paramount Pictures,Comedy,23083334,2668593
1295,11-12-2015,98,In the Heart of the Sea,Warner Bros.,Adventure,23063385,2735870
1296,18-04-2014,109,Transcendence,Warner Bros.,Thriller/Suspense,23022309,2817908
1297,25-12-2020,21,Wonder Woman 1984,Warner Bros.,Action,23009311,2506460
1298,22-10-2021,47,Ron’s Gone Wrong,20th Century Studios,Adventure,23009270,2262465
1299,14-02-2019,94,Fighting With My Family,MGM,Comedy,22958583,2506395
1300,25-12-2018,95,On the Basis of Sex,Focus Features,Drama,22946065,2505029
1301,26-11-2010,116,The King’s Speech,Weinstein Co.,Drama,22932401,2906514
1302,24-11-2010,117,Faster,CBS Films,Action,22856870,2896941
1303,08-06-2018,110,Won’t You Be My Neighbor?,Focus Features,Documentary,22835787,2506673
1304,17-05-2019,96,A Dog’s Journey,Universal,Drama,22782371,2487158
1305,08-04-2022,49,Ambulance,Universal,Thriller/Suspense,22781115,2163449
1306,10-07-2015,99,The Gallows,Warner Bros.,Horror,22764410,2700404
1307,24-05-2019,97,Booksmart,United Artists,Comedy,22680962,2476087
1308,15-03-2013,106,The Incredible Burt Wonders…,Warner Bros.,Comedy,22537881,2772187
1309,21-08-2015,100,Hitman: Agent 47,20th Century Fox,Action,22467450,2665178
1310,11-02-2022,50,Marry Me,Universal,Romantic Comedy,22438180,2130881
1311,13-01-2017,97,The Bye Bye Man,STX Entertainment,Horror,22395806,2496745
1312,12-07-2019,98,Stuber,20th Century Fox,Comedy,22370452,2442189
1313,30-01-2015,101,Project Almanac,Paramount Pictures,Adventure,22348241,2651036
1314,16-08-2019,99,47 Meters Down: Uncaged,Entertainment Stu…,Thriller/Suspense,22260900,2430229
1315,22-09-2017,98,Victoria and Abdul,Focus Features,Drama,22233285,2478627
1316,10-01-2020,22,Like a Boss,Paramount Pictures,Comedy,22169514,2414979
1317,16-06-2017,99,Rough Night,Sony Pictures,Black Comedy,22105643,2464397
1318,25-10-2019,100,Black and Blue,Sony Pictures,Action,22012729,2403136
1319,25-12-2023,70,The Boys in the Boat,Amazon MGM Studios,Drama,21998472,2040674
1320,12-04-2019,101,Hellboy,Lionsgate,Horror,21903748,2391238
1321,06-10-2017,100,My Little Pony: The Movie,Lionsgate,Adventure,21885107,2439811
1322,25-08-2017,101,Leap!,Weinstein Co.,Adventure,21858070,2436797
1323,26-04-2013,107,The Big Wedding,Lionsgate,Romantic Comedy,21819348,2683806
1325,21-06-2024,53,The Bikeriders,Focus Features,Drama,21714630,2014344
1326,09-11-2018,111,Overlord,Paramount Pictures,Action,21704844,2382530
1327,08-04-2011,117,Your Highness,Universal,Comedy,21596445,2723385
1328,26-04-2013,108,Mud,Roadside Attractions,Drama,21590086,2655607
1329,16-09-2016,106,Snowden,Open Road,Drama,21587519,2495666
1330,18-10-2019,102,Jojo Rabbit,Fox Searchlight,Black Comedy,21579550,2355846
1331,30-01-2015,102,Black or White,Relativity,Drama,21571189,2558859
1332,27-09-2013,109,Baggage Claim,Fox Searchlight,Romantic Comedy,21569509,2653076
1333,14-05-2010,118,Just Wright,Fox Searchlight,Romantic Comedy,21540363,2730084
1334,05-07-2013,110,The Way Way Back,Fox Searchlight,Comedy,21502690,2644857
1335,01-02-1980,112,The Fog,Avco Embassy,Horror,21445318,2354041
1336,12-11-2010,119,Skyline,Universal,Thriller/Suspense,21416355,2714367
1337,29-03-2013,111,The Place Beyond the Pines,Focus Features,Drama,21403519,2632659
1338,11-03-2011,118,Mars Needs Moms,Walt Disney,Adventure,21392758,2697699
1339,14-06-2019,103,Shaft,Warner Bros.,Comedy,21360215,2331901
1340,30-09-2011,119,Dream House,Universal,Horror,21302340,2686298
1341,19-08-2011,120,Conan the Barbarian,Lionsgate,Action,21295021,2685374
1342,29-08-2014,110,"As Above, So Below",Universal,Horror,21222315,2597590
1343,26-08-2016,107,Mechanic: Resurrection,Lionsgate,Action,21218403,2452994
1344,19-11-2010,120,The Next Three Days,Lionsgate,Thriller/Suspense,21129348,2677990
1345,13-04-2022,51,Father Stu,Sony Pictures,Drama,21096678,2003483
1346,29-05-2015,103,Aloha,Sony Pictures,Drama,21052030,2497275
1347,22-12-2021,52,The King’s Man,20th Century Studios,Action,20917649,1986481
1348,12-01-2018,113,Proud Mary,Sony Pictures,Action,20868638,2290739
1349,03-11-2023,71,Priscilla,A24,Drama,20864910,1935520
1350,21-08-2020,23,Unhinged,Solstice Studios,Thriller/Suspense,20831465,2269222
1351,09-07-2010,121,The Kids Are All Right,Focus Features,Comedy,20811365,2637688
1352,24-06-2016,108,Free State of Jones,STX Entertainment,Drama,20810036,2405784
1353,13-01-2017,102,Sleepless,Open Road,Thriller/Suspense,20783704,2317024
1354,16-09-2016,109,Blair Witch,Lionsgate,Horror,20777061,2401972
1355,01-04-2016,110,God’s Not Dead 2,Pure Flix Enterta…,Drama,20773069,2401510
1356,19-05-2017,103,Diary of a Wimpy Kid: The L…,20th Century Fox,Adventure,20738724,2312009
1357,24-08-2018,114,The Happytime Murders,STX Entertainment,Black Comedy,20706452,2272936
1358,25-12-2017,115,Phantom Thread,Focus Features,Drama,20670365,2268975
1359,29-04-2016,111,Keanu,Warner Bros.,Comedy,20591853,2380561
1360,14-02-2020,24,The Photograph,Universal,Drama,20578185,2241632
1361,13-06-2018,116,Superfly,Sony Pictures,Thriller/Suspense,20537137,2254350
1362,19-04-2024,54,The Ministry of Ungentleman…,Lionsgate,Action,20535053,1904921
1363,12-07-2024,55,Fly Me to the Moon,Sony Pictures,Romantic Comedy,20532222,1904658
1364,28-04-2017,104,The Circle,STX Entertainment,Thriller/Suspense,20497844,2285155
1365,09-08-2019,104,The Peanut Butter Falcon,Roadside Attractions,Comedy,20457158,2233314
1366,25-04-2014,111,Brick Mansions,Relativity,Action,20396829,2496551
1367,21-10-2011,121,The Three Musketeers,Summit Entertainment,Adventure,20377913,2569724
1368,28-04-2023,72,"Are You There God? It’s Me,…",Lionsgate,Comedy,20372406,1889833
1369,26-04-2024,56,Unsung Hero,Lionsgate,Drama,20335239,1886385
1370,22-04-2022,53,The Unbearable Weight of Ma…,Lionsgate,Action,20300157,1927840
1371,24-08-2012,118,Premium Rush,Sony Pictures,Thriller/Suspense,20275446,2547166
1372,12-03-2010,122,Our Family Wedding,Fox Searchlight,Comedy,20255281,2567209
1373,09-12-2011,119,Tinker Tailor Soldier Spy,Focus Features,Thriller/Suspense,20193631,2536888
1374,27-11-2013,112,Homefront,Open Road,Action,20158492,2479519
1375,03-02-2012,120,Big Miracle,Universal,Drama,20157300,2532324
1376,03-05-2019,105,UglyDolls,STX Entertainment,Adventure,20150241,2199807
1377,19-03-2010,123,Hubble 3D,Warner Bros.,Documentary,20149829,2553844
1378,20-11-2015,104,Secret in Their Eyes,STX Entertainment,Thriller/Suspense,20119034,2386599
1379,22-12-2010,122,Country Strong,Sony Pictures,Drama,20099179,2534574
1380,05-04-2024,57,The First Omen,20th Century Studios,Horror,20092802,1863896
1381,14-04-2023,73,The Pope’s Exorcist,Sony Pictures,Horror,20009380,1856158
1382,07-10-2016,112,Middle School: The Worst Ye…,Lionsgate,Comedy,20007149,2312965
1383,20-12-2019,106,Cats,Universal,Musical,19970095,2180141
1384,08-06-1984,112,Ghostbusters,Sony Pictures,Comedy,19864003,2431334
1385,23-11-2022,54,Devotion,Sony Pictures,Action,19837942,1883945
1386,28-10-2022,55,Prey for the Devil,Lionsgate,Horror,19802293,1880559
1387,03-12-2014,113,Wild,Fox Searchlight,Drama,19742647,2416480
1388,25-12-2019,25,Spies in Disguise,20th Century Fox,Adventure,19714592,2147559
1389,18-01-2013,113,Broken City,20th Century Fox,Thriller/Suspense,19701164,2423267
1390,05-08-2016,113,Nine Lives,EuropaCorp,Adventure,19700032,2277460
1391,22-12-2023,58,The Iron Claw,A24,Drama,19646906,1822533
1392,22-11-2013,114,Philomena,Weinstein Co.,Drama,19586311,2409140
1393,04-11-2015,105,Brooklyn,Fox Searchlight,Drama,19563995,2320759
1394,08-03-2024,59,Cabrini,Angel Studios,Drama,19512135,1810031
1395,11-02-2011,123,The Eagle,Focus Features,Action,19490041,2457760
1396,14-02-2013,115,Beautiful Creatures,Warner Bros.,Drama,19452138,2392636
1397,15-12-2023,60,American Fiction,Amazon MGM Studios,Comedy,19442987,1803616
1398,22-04-2010,124,Oceans,Walt Disney,Documentary,19422319,2461637
1399,05-08-2015,106,Shaun the Sheep,Lionsgate,Adventure,19375982,2298455
1400,04-10-2013,116,Runner Runner,20th Century Fox,Thriller/Suspense,19316646,2375971
1401,18-11-2016,105,Manchester-by-the Sea,Roadside Attractions,Drama,19224674,2143218
1402,17-02-2012,121,The Secret World of Arrietty,Walt Disney,Adventure,19192510,2411119
1403,23-02-2024,61,Ordinary Angels,Lionsgate,Drama,19174421,1778703
1404,19-02-2016,114,Race,Focus Features,Drama,19115191,2209848
1405,08-11-2013,117,The Book Thief,20th Century Fox,Drama,19091819,2348317
1406,24-01-2014,114,"I, Frankenstein",Lionsgate,Action,19075290,2334796
1407,07-06-2024,62,The Watchers,Warner Bros.,Horror,19071404,1769146
1408,12-03-2010,125,Remember Me,Summit Entertainment,Drama,19068240,2416760
1409,04-02-2022,56,Moonfall,Lionsgate,Action,19060660,1810129
1410,29-03-2019,107,Unplanned,SDG Releasing,Drama,19005109,2074793
1411,28-04-2017,106,Baahubali 2: The Conclusion,Great India Films,Action,18985794,2116587
1412,20-01-2012,122,Haywire,Relativity,Thriller/Suspense,18942396,2379697
1413,02-09-2011,124,Shark Night 3D,Relativity,Horror,18877153,2380473
1414,09-10-2020,26,The War with Grandpa,101 Studios,Comedy,18861607,2054641
1415,10-01-2014,115,The Legend of Hercules,Lionsgate,Adventure,18848538,2307042
1416,03-05-2024,63,Tarot,Sony Pictures,Horror,18771004,1741280
1417,04-11-2015,115,Brooklyn,Fox Searchlight,Drama,18758748,2168641
1418,05-02-2016,116,The Choice,Lionsgate,Drama,18730891,2165420
1419,11-03-2016,117,Eye in the Sky,Bleecker Street,Thriller/Suspense,18704596,2162381
1420,16-01-2015,107,Still Alice,Sony Pictures Cla…,Drama,18656400,2213096
1421,18-12-2013,116,Anchorman 2: The Legend Con…,Paramount Pictures,Comedy,18639235,2281424
1422,27-01-2012,123,Man on a Ledge,Lionsgate,Thriller/Suspense,18620000,2339195
1423,24-03-2017,107,CHiPS,Warner Bros.,Action,18600152,2073596
1424,11-12-2009,126,The Princess and the Frog,Walt Disney,Adventure,18541560,2350007
1425,23-08-2013,118,You're Next,Lionsgate,Horror,18494006,2274785
1426,23-11-2018,108,The Favourite,Fox Searchlight,Black Comedy,18478318,2017283
1427,04-10-2013,117,Gravity,Warner Bros.,Thriller/Suspense,18471038,2260836
1428,09-03-2012,124,A Thousand Words,Paramount Pictures,Comedy,18450127,2317855
1429,11-01-2013,119,Quartet,Weinstein Co.,Comedy,18388357,2261790
1431,19-08-2011,125,Fright Night,Walt Disney,Horror,18298649,2307521
1432,23-10-2015,108,Paranormal Activity: The Gh…,Paramount Pictures,Horror,18297124,2170477
1433,27-06-2024,64,Kalki 2898-AD,Prathyangira Cine…,Action,18289575,1696621
1435,21-12-2016,108,Assassin’s Creed,20th Century Fox,Action,18232781,2032640
1436,27-10-2023,74,The Holdovers,Focus Features,Comedy,18208655,1689114
1437,18-10-2013,118,12 Years a Slave,Fox Searchlight,Drama,18199907,2227650
1438,20-10-2017,109,Only the Brave,Sony Pictures,Drama,18181288,2026899
1439,03-12-2014,109,Wild,Fox Searchlight,Drama,18137709,2151567
1440,22-11-2017,110,Darkest Hour,Focus Features,Drama,18132857,2021500
1441,22-11-2013,119,Philomena,Weinstein Co.,Drama,18123668,2218319
1442,25-05-2012,125,Chernobyl Diaries,Warner Bros.,Horror,18119640,2276336
1443,25-12-2018,109,Vice,Annapurna Pictures,Black Comedy,18108785,1976941
1444,17-10-2014,110,Birdman or (The Unexpected …,Fox Searchlight,Black Comedy,18067553,2143245
1445,22-03-2013,121,Admission,Focus Features,Romantic Comedy,18007317,2214922
1446,06-11-2015,118,Spotlight,Open Road,Drama,17946804,2074775
1447,01-12-2017,111,The Disaster Artist,A24,Comedy,17861795,1991281
1448,12-10-2018,118,Bad Times at the El Royale,20th Century Fox,Thriller/Suspense,17839115,1958190
1449,13-12-2019,110,Richard Jewell,Warner Bros.,Drama,17822217,1945657
1450,15-07-2022,57,Paws of Fury: The Legend of…,Paramount Pictures,Adventure,17811382,1691489
1451,03-09-2010,127,Going the Distance,Warner Bros.,Romantic Comedy,17804299,2256565
1452,15-09-2017,112,mother!,Paramount Pictures,Thriller/Suspense,17800004,1984392
1453,15-11-2019,111,Charlie’s Angels,Sony Pictures,Action,17790181,1942159
1454,18-04-2014,120,Bears,Walt Disney,Documentary,17780194,2176278
1455,09-10-2015,111,Steve Jobs,Universal,Drama,17766658,2107551
1456,18-05-2018,119,Show Dogs,Global Road,Comedy,17744685,1947824
1457,17-07-2015,112,Mr. Holmes,Miramax/Roadside …,Drama,17737646,2104109
1458,06-02-2015,113,Seventh Son,Universal,Adventure,17725785,2102703
1459,23-11-2016,119,Bad Santa 2,Broad Green Pictures,Comedy,17725773,2049222
1460,04-06-2021,48,Spirit Untamed,Universal,Adventure,17716215,1742007
1461,16-06-2023,75,The Blackening,Lionsgate,Horror,17707207,1642598
1462,12-07-2019,112,The Farewell,A24,Drama,17700478,1932366
1463,02-09-2011,126,Apollo 18,Weinstein Co.,Thriller/Suspense,17686929,2230381
1464,23-02-2024,65,Demon Slayer: Kimetsu no Ya…,Crunchyroll,Action,17657658,1638001
1465,02-08-2024,66,Harold and the Purple Crayon,Sony Pictures,Adventure,17640924,1636449
1466,30-04-2010,128,Furry Vengeance,Summit Entertainment,Comedy,17630465,2234533
1467,25-01-2013,122,Parker,FilmDistrict,Thriller/Suspense,17616641,2166868
1468,29-08-2018,120,Operation Finale,MGM,Drama,17612099,1933271
1469,12-05-2023,76,Book Club: The Next Chapter,Focus Features,Romantic Comedy,17581565,1630943
1470,23-03-2018,121,"Paul, Apostle of Christ",Sony Pictures,Drama,17547999,1926234
1471,26-10-2012,126,Silent Hill: Revelation 3D,Open Road,Horror,17530219,2202288
1472,22-11-2013,121,The Hunger Games: Catching …,Lionsgate,Adventure,17528348,2145452
1473,03-11-2017,122,Lady Bird,A24,Drama,17525810,1923799
1474,18-09-2013,123,Enough Said,Fox Searchlight,Comedy,17497669,2152234
1475,06-07-2018,123,Sorry to Bother You,Annapurna Pictures,Black Comedy,17493096,1920208
1476,25-01-2023,77,Pathaan,Yash Raj Films,Thriller/Suspense,17487476,1622214
1477,21-09-2012,127,The Perks of Being a Wallfl…,Lionsgate,Drama,17479028,2195857
1478,10-12-2010,127,The Chronicles of Narnia: T…,20th Century Fox,Adventure,17460553,2201835
1479,31-03-2017,113,The Zookeeper’s Wife,Focus Features,Drama,17445186,1944836
1480,25-12-2015,114,Concussion,Sony Pictures,Drama,17420369,2066473
1481,22-02-2013,124,Dark Skies,Weinstein Co.,Horror,17418667,2142517
1482,06-04-2018,124,Chappaquiddick,Entertainment Stu…,Drama,17395521,1909497
1483,10-10-2014,122,Addicted,Lionsgate,Drama,17390770,2128613
1484,30-09-2016,120,Masterminds,Relativity,Comedy,17356894,2006577
1485,18-04-2014,123,A Haunted House 2,Open Road,Comedy,17329487,2121112
1486,11-11-2022,78,Black Panther: Wakanda Forever,Walt Disney,Action,17329414,1607552
1487,14-04-2023,79,Renfield,Universal,Black Comedy,17297895,1604628
1488,10-01-2020,27,Underwater,20th Century Fox,Thriller/Suspense,17291078,1883559
1489,24-02-2012,128,Wanderlust,Universal,Comedy,17288155,2171878
1490,11-08-2017,114,The Glass Castle,Lionsgate,Drama,17273059,1925647
1491,28-09-2023,80,The Blind,Fathom Events,Drama,17265487,1601622
1492,24-05-2019,113,BrightBurn,Sony Pictures,Horror,17259427,1884216
1493,25-07-2014,124,A Most Wanted Man,Roadside Attractions,Thriller/Suspense,17237855,2109896
1494,08-04-2011,129,Born to be Wild 3D,Warner Bros.,Documentary,17203348,2161224
1495,30-07-2021,49,The Green Knight,A24,Adventure,17173321,1688625
1496,22-12-2017,115,Downsizing,Paramount Pictures,Comedy,17160674,1913119
1497,27-04-2012,130,Safe,Lionsgate,Action,17142080,2153527
1498,25-12-2015,121,Concussion,Sony Pictures,Drama,17111463,1978203
1499,15-01-2016,122,Norm of the North,Lionsgate,Adventure,17062499,1972543
1500,04-06-2010,129,Splice,Warner Bros.,Horror,17010170,2155915
1501,14-10-2011,128,The Thing,Universal,Horror,16999934,2143750
1502,15-11-2019,114,The Good Liar,Warner Bros.,Thriller/Suspense,16973279,1852978
1503,25-10-2013,125,The Counselor,20th Century Fox,Thriller/Suspense,16960224,2086128
1504,03-03-2023,81,Demon Slayer: Kimetsu No Ya…,Crunchyroll,Adventure,16945424,1571932
1505,21-04-2023,82,Guy Ritchie’s The Covenant,MGM,Action,16938039,1571246
1506,24-11-2021,50,Resident Evil: Welcome to R…,Sony Pictures,Horror,16923891,1664099
1507,29-09-2017,116,Flatliners,Sony Pictures,Horror,16883115,1882176
1508,25-01-2019,115,The Kid Who Would Be King,20th Century Fox,Adventure,16790790,1833055
1509,04-08-2017,117,Detroit,Annapurna Pictures,Drama,16790139,1871810
1510,22-09-2023,83,Expend4bles,Lionsgate,Action,16710153,1550106
1511,22-06-2012,131,To Rome with Love,Sony Pictures Cla…,Romantic Comedy,16684352,2096024
1512,12-04-2019,116,Missing Link,United Artists,Adventure,16649539,1817635
1513,25-12-2023,67,The Color Purple,Warner Bros.,Musical,16571549,1537249
1514,17-04-2015,115,Monkey Kingdom,Walt Disney,Documentary,16432322,1949267
1515,10-03-2023,84,Champions,Focus Features,Comedy,16397335,1521089
1516,19-01-2018,125,Forever My Girl,Roadside Attractions,Drama,16376066,1797592
1517,01-11-2013,126,Dallas Buyers Club,Focus Features,Drama,16300843,2005023
1518,22-12-2021,51,The King’s Man,20th Century Studios,Action,16258724,1598695
1519,27-06-2014,125,Begin Again,Weinstein Co.,Drama,16170632,1979269
1520,16-08-2013,127,Jobs,Open Road,Drama,16131410,1984183
1521,12-07-2013,128,Fruitvale Station,Weinstein Co.,Drama,16098998,1980196
1522,04-09-2015,116,The Transporter Refueled,EuropaCorp,Action,16029670,1901502
1523,27-04-2012,132,The Raven,Relativity,Thriller/Suspense,16008272,2011089
1524,14-03-2014,126,Tyler Perry's The Single Mo…,Lionsgate,Comedy,15995891,1957881
1525,14-09-2012,133,The Master,Weinstein Co.,Drama,15979869,2007521
1526,22-10-2021,52,The French Dispatch,Searchlight Pictures,Comedy,15976770,1570971
1527,22-12-2023,85,The Iron Claw,A24,Drama,15964922,1480976
1528,23-11-2018,126,The Favourite,Fox Searchlight,Black Comedy,15888465,1744069
1529,07-10-2016,123,The Birth of a Nation,Fox Searchlight,Drama,15861566,1833707
1530,17-01-2014,127,Devil's Due,20th Century Fox,Horror,15821461,1936531
1531,26-02-2016,124,Eddie the Eagle,20th Century Fox,Drama,15789389,1825362
1532,26-10-2018,127,Hunter Killer,Lionsgate,Thriller/Suspense,15767460,1730786
1533,30-06-2023,86,"Ruby Gillman, Teenage Kraken",Universal,Comedy,15753600,1461372
1534,22-03-2024,68,Immaculate,Neon,Horror,15671306,1453738
1535,01-12-2017,118,The Shape of Water,Fox Searchlight,Drama,15670177,1746954
1536,29-04-2016,125,A Beautiful Planet,Walt Disney,Documentary,15650615,1809319
1537,02-11-2012,134,The Man with the Iron Fists,Universal,Action,15634090,1964081
1538,21-12-2012,129,The Impossible,Lionsgate,Drama,15607469,1919737
1539,25-12-2015,117,Point Break,Warner Bros.,Action,15584535,1848699
1540,15-01-2021,53,The Marksman,Open Road,Action,15566093,1530589
1541,19-02-2010,130,The Ghost Writer,Summit Entertainment,Thriller/Suspense,15541549,1969778
1542,02-04-2021,54,The Unholy,Sony Pictures,Horror,15532137,1527250
1543,07-06-2019,117,Late Night,Amazon Studios,Comedy,15500045,1692144
1544,09-08-2024,69,Borderlands,Lionsgate,Action,15482668,1436240
1545,24-01-2020,28,The Turning,Universal,Horror,15472775,1685487
